video_file,person,start_seconds,end_seconds,molly_eng_level,nana_eng_level,avg_eng_level,round_avg_eng_level
F1_Interaction_1,P2 (older girl),0.0,5.0,2.0,0.0,1.0,1.0
F1_Interaction_1,P2 (older girl),5.0,10.0,0.0,0.0,0.0,0.0
F1_Interaction_1,P2 (older girl),10.0,15.0,0.0,0.0,0.0,0.0
F1_Interaction_1,P2 (older girl),15.0,20.0,0.0,1.0,0.5,0.0
F1_Interaction_1,P2 (older girl),20.0,25.0,0.0,1.0,0.5,0.0
F1_Interaction_1,P2 (older girl),25.0,30.0,0.0,2.0,1.0,1.0
F1_Interaction_1,P2 (older girl),30.0,35.0,1.0,2.0,1.5,2.0
F1_Interaction_1,P2 (older girl),35.0,40.0,0.0,1.0,0.5,0.0
F1_Interaction_1,P2 (older girl),40.0,45.0,0.0,1.0,0.5,0.0
F1_Interaction_1,P2 (older girl),45.0,50.0,0.0,0.0,0.0,0.0
F1_Interaction_1,P2 (older girl),50.0,55.0,0.0,0.0,0.0,0.0
F1_Interaction_1,P2 (older girl),55.0,60.0,1.0,0.0,0.5,0.0
F1_Interaction_1,P2 (older girl),60.0,65.0,0.0,0.0,0.0,0.0
F1_Interaction_1,P2 (older girl),65.0,70.0,0.0,0.0,0.0,0.0
F1_Interaction_1,P2 (older girl),70.0,75.0,0.0,0.0,0.0,0.0
F1_Interaction_1,P2 (older girl),75.0,80.0,0.0,0.0,0.0,0.0
F1_Interaction_1,P2 (older girl),80.0,85.0,0.0,0.0,0.0,0.0
F1_Interaction_1,P2 (older girl),85.0,90.0,0.0,0.0,0.0,0.0
F1_Interaction_1,P2 (older girl),90.0,95.0,1.0,0.0,0.5,0.0
F1_Interaction_1,P2 (older girl),95.0,100.0,0.0,0.0,0.0,0.0
F1_Interaction_1,P2 (older girl),100.0,105.0,0.0,0.0,0.0,0.0
F1_Interaction_1,P2 (older girl),105.0,110.0,0.0,0.0,0.0,0.0
F1_Interaction_1,P2 (older girl),110.0,115.0,0.0,0.0,0.0,0.0
F1_Interaction_1,P2 (older girl),115.0,120.0,1.0,0.0,0.5,0.0
F1_Interaction_1,P2 (older girl),120.0,125.0,0.0,1.0,0.5,0.0
F1_Interaction_1,P2 (older girl),125.0,130.0,0.0,1.0,0.5,0.0
F1_Interaction_1,P2 (older girl),130.0,135.0,0.0,0.0,0.0,0.0
F1_Interaction_1,P2 (older girl),135.0,140.0,1.0,1.0,1.0,1.0
F1_Interaction_1,P2 (older girl),140.0,145.0,1.0,1.0,1.0,1.0
F1_Interaction_1,P2 (older girl),145.0,150.0,1.0,0.0,0.5,0.0
F1_Interaction_1,P2 (older girl),150.0,155.0,1.0,1.0,1.0,1.0
F1_Interaction_1,P2 (older girl),155.0,160.0,1.0,0.0,0.5,0.0
F1_Interaction_1,P2 (older girl),160.0,165.0,1.0,1.0,1.0,1.0
F1_Interaction_1,P2 (older girl),165.0,170.0,1.0,1.0,1.0,1.0
F1_Interaction_1,P2 (older girl),170.0,175.0,1.0,1.0,1.0,1.0
F1_Interaction_1,P2 (older girl),175.0,180.0,1.0,1.0,1.0,1.0
F1_Interaction_1,P2 (older girl),180.0,185.0,1.0,1.0,1.0,1.0
F1_Interaction_1,P2 (older girl),185.0,190.0,0.0,0.0,0.0,0.0
F1_Interaction_1,P2 (older girl),190.0,195.0,0.0,0.0,0.0,0.0
F1_Interaction_1,P2 (older girl),195.0,200.0,0.0,0.0,0.0,0.0
F1_Interaction_1,P2 (older girl),200.0,205.0,0.0,0.0,0.0,0.0
F1_Interaction_1,P2 (older girl),205.0,210.0,0.0,0.0,0.0,0.0
F1_Interaction_1,P2 (older girl),210.0,215.0,0.0,0.0,0.0,0.0
F1_Interaction_1,P2 (older girl),215.0,220.0,0.0,0.0,0.0,0.0
F1_Interaction_1,P2 (older girl),220.0,225.0,0.0,0.0,0.0,0.0
F1_Interaction_1,P2 (older girl),225.0,230.0,0.0,0.0,0.0,0.0
F1_Interaction_1,P2 (older girl),230.0,235.0,0.0,0.0,0.0,0.0
F1_Interaction_1,P2 (older girl),235.0,240.0,0.0,0.0,0.0,0.0
F1_Interaction_1,P2 (older girl),240.0,245.0,0.0,0.0,0.0,0.0
F1_Interaction_1,P2 (older girl),245.0,250.0,0.0,0.0,0.0,0.0
F1_Interaction_1,P2 (older girl),250.0,255.0,0.0,0.0,0.0,0.0
F1_Interaction_1,P2 (older girl),255.0,260.0,0.0,0.0,0.0,0.0
F1_Interaction_1,P2 (older girl),260.0,265.0,0.0,0.0,0.0,0.0
F1_Interaction_1,P2 (older girl),265.0,270.0,0.0,0.0,0.0,0.0
F1_Interaction_1,P2 (older girl),270.0,275.0,0.0,0.0,0.0,0.0
F1_Interaction_1,P2 (older girl),275.0,280.0,0.0,0.0,0.0,0.0
F1_Interaction_1,P2 (older girl),280.0,285.0,0.0,0.0,0.0,0.0
F1_Interaction_1,P2 (older girl),285.0,290.0,0.0,0.0,0.0,0.0
F1_Interaction_1,P2 (older girl),290.0,295.0,1.0,0.0,0.5,0.0
F1_Interaction_1,P2 (older girl),295.0,300.0,1.0,0.0,0.5,0.0
F1_Interaction_1,P2 (older girl),300.0,305.0,1.0,0.0,0.5,0.0
F1_Interaction_1,P2 (older girl),305.0,310.0,0.0,0.0,0.0,0.0
F1_Interaction_1,P2 (older girl),310.0,315.0,0.0,0.0,0.0,0.0
